Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+population_type,,,,#affected+f+infants+age_0_4,#affected+f+children+age_5_11,#affected+f+adolescents+age_12_17,#affected+f+adults+age_18_59,#affected+f+elderly+age_60,#affected+f+unknown_age,#affected+f+total,#affected+m+infants+age_0_4,#affected+m+children+age_5_11,#affected+m+adolescents+age_12_17,#affected+m+adults+age_18_59,#affected+m+elderly+age_60,#affected+m+unknown_age,#affected+m+total,#affected+all+total
2012,AFG,SAU,Afghanistan,Saudi Arabia,ASY,,,,0,7,0,0,0,0,7,0,0,0,0,0,0,0,7
2012,AFG,ESP,Afghanistan,Spain,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2012,AFG,ESP,Afghanistan,Spain,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
2012,AFG,SRB,Afghanistan,Serbia,ASY,,,,5,9,5,14,0,0,33,5,8,5,30,0,0,48,81
2012,AFG,SVK,Afghanistan,Slovakia,REF,,,,5,5,0,6,0,0,16,5,0,0,68,0,0,73,209
2012,AFG,SVN,Afghanistan,Slovenia,ASY,,,,0,0,0,0,0,0,0,0,0,5,13,0,0,18,18
2012,AFG,SVN,Afghanistan,Slovenia,REF,,,,0,0,0,0,0,0,0,0,0,13,5,0,0,18,18
2012,AFG,SWE,Afghanistan,Sweden,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2353
2012,AFG,SWE,Afghanistan,Sweden,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8454
2012,AFG,CHE,Afghanistan,Switzerland,ASY,,,,96,134,71,338,13,0,652,108,141,152,1160,15,0,1576,2228
2012,AFG,CHE,Afghanistan,Switzerland,REF,,,,57,91,66,249,16,320,799,50,102,106,641,22,379,1300,2099
2012,AFG,SYR,Afghanistan,Syrian Arab Republic,ASY,,,,8,10,14,53,5,0,90,12,11,8,67,5,0,103,193
2012,AFG,SYR,Afghanistan,Syrian Arab Republic,REF,,,,74,138,141,480,27,0,860,75,149,149,456,48,0,877,1737
2012,AFG,THA,Afghanistan,Thailand,ASY,,,,0,0,0,9,0,0,9,0,0,0,0,0,0,0,9
2012,AFG,TJK,Afghanistan,Tajikistan,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,1929,1929,2122
2012,AFG,TJK,Afghanistan,Tajikistan,REF,,,,0,9,11,11,0,0,31,0,5,7,10,0,2143,2165,2196
2012,AFG,TKM,Afghanistan,Turkmenistan,REF,,,,0,0,0,9,0,0,9,0,0,0,8,0,0,8,17
2012,AFG,TUR,Afghanistan,Turkey,ASY,,,,195,365,343,1008,15,0,1926,218,470,722,1478,31,0,2919,14590
2012,AFG,TUR,Afghanistan,Turkey,REF,,,,118,291,311,871,10,0,1601,124,334,387,1047,20,0,1912,3513
2012,AFG,ARE,Afghanistan,United Arab Emirates,ASY,,,,0,0,0,6,0,0,6,0,0,0,0,0,0,0,6
2012,AFG,ARE,Afghanistan,United Arab Emirates,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,UKR,Afghanistan,Ukraine,ASY,,,,0,0,0,0,0,689,689,0,0,0,0,0,1399,1399,2105
2012,AFG,UKR,Afghanistan,Ukraine,REF,,,,0,0,0,0,0,430,430,0,0,0,0,0,1050,1050,1480
2012,AFG,USA,Afghanistan,United States of America,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
2012,AFG,USA,Afghanistan,United States of America,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017
